name,province,city,district,address,description,tags,rating,crowdLevel,avgCost,suggestedDuration,bestSeason,transportInfo,latitude,longitude,imageUrl,isNationalKeyVillage,batch,source,accommodationTips,diningTips,routeHighlights
婺源篁岭,江西省,上饶市,婺源县,江湾镇篁岭村,以晒秋景观和徽派村落闻名 适合摄影与家庭休闲,摄影|亲子|古村落|文化体验,4.8,4,380,1-2天,春|秋,建议自驾或高铁至婺源站后换乘景区接驳,29.338,117.992,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee,true,seed-2026-q1,manual_seed,篁岭晒秋美宿|婺源山舍,乡宴土菜馆,晒秋观景台|徽派古巷|花溪水街
宏村,安徽省,黄山市,黟县,宏村镇宏村,典型徽州古村 适合摄影 写生与慢旅行,摄影|古村落|文化体验|安静,4.7,4,420,1-2天,春|秋|冬,高铁至黄山北站后转巴士或自驾前往,30.111,117.995,https://images.unsplash.com/photo-1469474968028-56623f02e42e,true,seed-2026-q1,manual_seed,南湖书院民宿,徽州小馆,南湖|月沼|承志堂
西递,安徽省,黄山市,黟县,西递镇西递村,保存较完整的徽派古建筑群 适合文化体验和慢游,古村落|文化体验|摄影|低预算,4.6,3,320,1天,春|秋,适合自驾或从黄山景区串联游玩,29.907,117.99,https://images.unsplash.com/photo-1470770841072-f978cf4d019e,true,seed-2026-q1,manual_seed,西递老宅客栈,西递徽味坊,胡文光牌坊|敬爱堂|古巷夜景
乌镇西栅周边乡宿带,浙江省,嘉兴市,桐乡市,乌镇镇,适合周末自驾的乡宿带 兼具水乡漫步 美食和夜游体验,自驾|美食|摄影|文化体验,4.7,4,580,2天,春|秋|冬,上海 杭州方向自驾便利 也可高铁至桐乡后换乘,30.746,120.49,https://images.unsplash.com/photo-1506744038136-46273834b3fb,false,seed-2026-q1,manual_seed,水岸小院,乌镇家常宴,夜游水巷|沿河咖啡馆|乡村市集
松阳杨家堂村,浙江省,丽水市,松阳县,三都乡杨家堂村,村落依山而建 日出云海和黄墙老宅适合摄影与安静度假,摄影|安静|人少|古村落,4.6,2,260,1天,春|秋|冬,建议自驾前往 村内步行游览为主,,,https://images.unsplash.com/photo-1510798831971-661eb04b3739,true,seed-2026-q1,manual_seed,松阳古村宿,乡里灶台,黄墙老宅|清晨云雾|山村石阶
南浔善琏湖笔小镇周边村落,浙江省,湖州市,南浔区,善琏镇,结合非遗湖笔文化和江南村镇慢生活 适合亲子体验,非遗民俗|亲子|文化体验|低预算,4.4,2,220,1天,春|秋,适合上海 苏州 杭州周边短途自驾,,,https://images.unsplash.com/photo-1493246507139-91e8fad9978e,false,seed-2026-q1,manual_seed,善琏文创客栈,太湖农家宴,湖笔体验馆|乡村水巷|田园骑行
安吉余村,浙江省,湖州市,安吉县,天荒坪镇余村,适合避暑 自驾和绿色生态体验 周边山林资源丰富,避暑|自驾|自然风光|亲子,4.7,3,360,2天,夏|秋,杭州 上海出发自驾便利,30.53,119.556,https://images.unsplash.com/photo-1501785888041-af3ef285b470,true,seed-2026-q1,manual_seed,竹海山居民宿,安吉农家小院,余村会客厅|竹林步道|山谷骑行
德清莫干山庾村周边乡旅带,浙江省,湖州市,德清县,莫干山镇庾村,集合山野民宿 咖啡馆和徒步路线 适合城市周末逃离,避暑|情侣|自驾|自然风光,4.8,4,680,2天,夏|秋,以上海 杭州自驾为主 也可高铁到德清站,30.594,119.879,https://images.unsplash.com/photo-1507525428034-b723cf961d3e,false,seed-2026-q1,manual_seed,山野设计民宿,庾村小馆,庾村广场|山路徒步|日落露台
福建培田古民居,福建省,龙岩市,连城县,宣和镇培田村,客家古村落氛围浓厚 适合文化体验与低预算慢游,古村落|非遗民俗|低预算|文化体验,4.5,2,240,1天,春|秋|冬,建议自驾或火车至连城后换乘,,,https://images.unsplash.com/photo-1441974231531-c6227db76b6e,true,seed-2026-q1,manual_seed,培田古厝客栈,客家食坊,古厝群|客家祠堂|古村巷道
永定初溪土楼群周边村落,福建省,龙岩市,永定区,下洋镇初溪村,土楼与山谷结合 适合亲子和文化体验型出游,亲子|非遗民俗|文化体验|摄影,4.6,3,300,1-2天,春|秋,建议自驾或厦门方向包车前往,,,https://images.unsplash.com/photo-1451187580459-43490279c0fa,true,seed-2026-q1,manual_seed,土楼人家,闽西农家院,初溪土楼群|梯田观景|客家表演
