name,province,city,district,address,description,tags,rating,crowdLevel,avgCost,suggestedDuration,bestSeason,transportInfo,latitude,longitude,imageUrl,isNationalKeyVillage,batch,source,accommodationTips,diningTips,routeHighlights
蔡家坡村,陕西省,西安市,,西安市鄠邑区石井街道,麦田剧场、乡村美术馆、关中忙罢艺术节、艺术家驻村、村咖民宿,艺术乡村；全国乡村旅游重点村|文艺青年|情侣|摄影爱好者|亲子|周末自驾,4.6,4,380,1天,5-10月；麦收与艺术节期间辨识度更高,自驾最方便，位于秦岭北麓环山旅游路沿线。,,,https://whhlyt.shaanxi.gov.cn/sy/dsyw/202411/t20241118_3342102.html,true,xian-rural-import-2026-03,manual_excel_import,村内已有“户县院子”“花栖玥民宿”“葡萄藤下民宿”等品牌民宿，适合住1晚。,村咖、农家菜、轻食/文创市集餐饮都有，活动期选择更多。,麦田剧场、乡村美术馆、关中忙罢艺术节、艺术家驻村、村咖民宿
石砭峪新村,陕西省,西安市,,西安市长安区五台街道,秦岭脚下新村、精品民宿、温泉康养、绿色产业、花园乡村,中国美丽休闲乡村；2A级村庄景区|家庭|亲子|情侣|周末度假|民宿客群,4.3,3,220,1天,春秋最佳；夏季也可避暑,适合自驾，位于终南山脚下，方便与南五台、关中民俗博物院串线。,,,https://whxcsx.com/mobile/zxxc/show.php?itemid=68,false,xian-rural-import-2026-03,manual_excel_import,村内发展精品民宿，公开信息提到“拾间房”等；整体更适合民宿度假。,民宿私房菜、农家乐为主，适合周末休闲餐饮。,秦岭脚下新村、精品民宿、温泉康养、绿色产业、花园乡村
长安唐村·南堡古寨,陕西省,西安市,,西安市长安区王曲街道南堡寨村,唐诗田园、古寨修复、柳青文化、民宿餐饮、农耕研学,农业公园；古村活化景区|亲子|研学|情侣|汉服摄影|团建,4.3,3,220,1天,全年；春秋更佳,西安南部自驾较方便，也适合与南五台、关中民俗博物院一线串游。,,,https://5h.whxcsx.com/index.php?infohomepage=50,false,xian-rural-import-2026-03,manual_excel_import,可联动唐村诗唐宿集等民宿，适合周末微度假。,农家菜、茶饮、简餐为主，配套偏休闲型。,唐诗田园、古寨修复、柳青文化、民宿餐饮、农耕研学
张龙村竹海驿站,陕西省,西安市,,西安市周至县竹峪镇张龙村,毛竹林400余亩、约3公里竹林步道、红梅基地、周塬路景观,竹海步道；乡村驿站|自驾|朋友|摄影|轻徒步|亲子,4.3,3,220,1天,春（梅花）/夏（竹海）/秋,自驾最佳，可沿周塬路前往；更适合作为周至环山乡村线中的一个停靠点。,,,https://news.qq.com/rain/a/20250725A04FW300,false,xian-rural-import-2026-03,manual_excel_import,村内公开住宿信息较少，通常与楼观/周至环山路片区民宿或周至水街住宿搭配。,周边以农家乐和沿线简餐为主。,毛竹林400余亩、约3公里竹林步道、红梅基地、周塬路景观
老县城村,陕西省,西安市,,西安市周至县厚畛子镇,清代佛坪厅旧址、石头城、秦岭腹地、野生动植物、古道遗迹,传统村落；秦岭古道遗址村|历史爱好者|自驾深度游|自然观察|摄影,4.3,3,220,1天,春夏秋,自驾为主，山路较长，建议白天往返或提前订好沿线住宿。,,,https://m.cnwest.com/sxxw/a/2024/06/13/22647203.html,false,xian-rural-import-2026-03,manual_excel_import,村内住宿容量有限，适合提前预订山里农家乐，或在周至水街/厚畛子沿线安排前后站住宿。,农家菜、山野菜为主，配套相对朴素。,清代佛坪厅旧址、石头城、秦岭腹地、野生动植物、古道遗迹
芷阳村芷硕石榴休闲观光园,陕西省,西安市,,西安市临潼区斜口街道芷阳村,石榴观光、农事体验、临潼石榴产业、可联动骊山景区,石榴观光园；采摘体验点|亲子|家庭|采摘|研学,4.3,3,220,1天,9-10月,自驾最方便，可与临潼环山路、骊山、番茄智慧谷串线。,,,https://nynct.shaanxi.gov.cn/sy/sntw/202505/t20250529_3525840.html,false,xian-rural-import-2026-03,manual_excel_import,一般联动临潼城区、骊山或华清宫周边民宿酒店住宿。,临潼农家菜、石榴相关特产和城区餐饮为主。,石榴观光、农事体验、临潼石榴产业、可联动骊山景区
任陈村畅心湾田园观赏区,陕西省,西安市,,西安市临潼区雨金街道任陈村,田园观光、农耕体验、可与石榴园和现代农业园串线,田园观赏区；农耕体验点|亲子|摄影|休闲自驾|朋友,4.3,3,220,1天,春秋/夏,自驾较方便，可与骊山风景区、番茄智慧谷、石榴园等联动。,,,https://nynct.shaanxi.gov.cn/sy/sntw/202505/t20250529_3525840.html,false,xian-rural-import-2026-03,manual_excel_import,更适合作为日游点，住宿通常安排在临潼城区或骊山/华清宫周边。,临潼乡村农家菜和城区餐饮为主。,田园观光、农耕体验、可与石榴园和现代农业园串线
源田梦工场·田园综合体,陕西省,西安市,,西安市高陵区张卜街道张家村,儿童游乐、生态餐厅、农耕课堂、亲子垂钓、乡村集市、宠物乐园,田园综合体；亲子研学目的地|亲子|团建|朋友|研学,4.3,4,220,1天,全年；春秋更佳,高陵片区自驾较方便，可与泾渭分明景区串线。,,,https://news.cyol.com/gb/articles/2021-09/28/content_mLAnNFVL5.html,false,xian-rural-import-2026-03,manual_excel_import,可联动米家崖村东台坡民宿等周边住宿；目前更适合日游。,园区生态餐厅、乡村集市小吃和周边农家餐饮。,儿童游乐、生态餐厅、农耕课堂、亲子垂钓、乡村集市、宠物乐园
汤峪镇塘子村,陕西省,西安市,,西安市蓝田县汤峪镇,温泉、终南山下、大兴汤院遗址、温泉酒店集群、生态旅游,温泉康养村；全国乡村旅游重点村|情侣|长辈|亲子|周末康养客群,4.3,4,220,1天,秋冬最佳；全年可去,距西安市约38公里，短途自驾便利，适合周末一晚两天。,,,https://news.cnwest.com/sxxw/a/2023/01/29/21225098.html,true,xian-rural-import-2026-03,manual_excel_import,周边有御宾苑、龙门精舍、五月塘子等温泉酒店/民宿，住宿选择相对集中。,温泉镇沿线餐馆、农家菜和简餐较多。,温泉、终南山下、大兴汤院遗址、温泉酒店集群、生态旅游
袁家村,陕西省,西安市,,咸阳市礼泉县烟霞镇（西安周边）,关中小吃集群、民俗街区、昭陵周边、民宿集群、夜游氛围,关中民俗村；国家4A级旅游景区；全国乡村旅游重点村|美食爱好者|家庭|朋友|外地游客|周末短途,4.3,4,220,1天,全年,可自驾，也有西安城西客运站/咸阳南站接驳方案。,,,https://www.yuanjiacun.net/,true,xian-rural-import-2026-03,manual_excel_import,村内民宿丰富，适合住一晚体验夜游和第二天错峰逛吃。,以关中小吃为核心，适合“吃逛型”游客。,关中小吃集群、民俗街区、昭陵周边、民宿集群、夜游氛围
